role_searched,job_title,employer_name,job_description,job_employment_type,job_city,job_country,job_apply_link,posted_date
Data Engineer,REMOTE Data Engineer (R&D)– INTL India (a5a02785),Insight Global,,Contractor,Wilmington,US,https://virtualjobs.usnlx.com/wilmington-de/remote-data-engineer-rd-intl-india-a5a02785/28BFD0C0149D46AF9399B57F7D6B4EDB/job/,2026-03-26T00:00:00.000Z
Data Engineer,Senior Data Engineer - INDIA in Prosper,Energy Jobline ZR,,Full-time,Prosper,US,https://www.energyjobline.com/job/senior-data-engineer-india-prosper-29965693,2026-03-29T00:00:00.000Z
Data Engineer,Senior Data Engineer - Remote India | Databricks & Airflow,Vytwo,,Full-time,Prosper,US,https://bebee.com/us/jobs/senior-data-engineer-remote-india-databricks-airflow-vytwo-prosper--talent-e75e7dbff7e5,2026-03-25T00:00:00.000Z
Data Engineer,Data Engineer – INTL India,Insight Global,,Full-time,New York,US,https://us.jobrapido.com/jobpreview/4763444193148272640,2026-03-27T00:00:00.000Z
Data Engineer,Data Engineer - INTL India,Insight Global,,Full-time,St Bernard,US,https://us.jobrapido.com/jobpreview/408654118748422144,2026-03-29T00:00:00.000Z
Data Engineer,Data Engineer (Customer Experience) – INTL India – EOR,Insight Global,,Full-time,Atlanta,US,https://us.jobrapido.com/jobpreview/5884990033944903680,2026-03-27T00:00:00.000Z
Data Engineer,Data Engineer - India,My3Tech Inc,,Full-time,Plano,US,https://us.jobrapido.com/jobpreview/1809332976488546304,2026-03-28T00:00:00.000Z
Data Engineer,Lead Data Engineers - Azure/ Databricks/ Snowflake at Exusia United States,Exusia,,Full-time,Monticello,US,https://aldeiadoscamaras.com.br/job-library/job/lead-data-engineers-azure-databricks-snowflake-at-exusia-united-states-cWFCL0lHK3ZxR3VSMWloZHJpNnhodC9JYXc9PQ==,2026-04-01T00:00:00.000Z
Data Analyst,Data Analyst Assistant Vice President,Barclays,,Full-time,Chennai,IN,https://search.jobs.barclays/job/chennai/data-analyst-assistant-vice-president/13015/93411787408,2026-03-30T00:00:00.000Z
Data Analyst,"Data Analyst, ESG Data Operations | Ahmedabad, IN",S&P Global,,Full-time,Ahmedabad,IN,https://www.efinancialcareers.com/jobs-India-Ahmedabad-Data_Analyst_ESG_Data_Operations.id24054164,2026-03-30T00:00:00.000Z
Data Analyst,O2C -Transformation- DATA ANALYST-DCM-FMS-   Associate- Operate,PwC Acceleration Center India,,Full-time,Bengaluru,IN,https://in.linkedin.com/jobs/view/o2c-transformation-data-analyst-dcm-fms-associate-operate-at-pwc-acceleration-center-india-4396468179,2026-04-01T10:00:00.000Z
Data Analyst,Global Data Analyst Senior Specialist,Boston Consulting Group,,Full-time,Gurugram,IN,https://careers.bcg.com/global/en/job/56788/Global-Data-Analyst-Senior-Specialist,2026-03-25T00:00:00.000Z
Data Analyst,Senior Data Analytics Specialist - VOIS,Vodafone,,Full-time,Pune,IN,https://jobs.vodafone.com/careers/job/563018695346160-senior-data-analytics-specialist-vois-pune-maharashtra-india?domain=vodafone.com,2026-03-29T00:00:00.000Z
Data Analyst,"(IND) MANAGER, DATA ANALYTICS",Walmart Global Tech India,,Full-time,,IN,https://in.indeed.com/viewjob?jk=0263b4e78c74698d,2026-03-31T00:00:00.000Z
Data Analyst,Data Analyst / Analytics Engineer,Deutsche Bank,,Full-time,,IN,https://www.shine.com/jobs/data-analyst-analytics-engineer/deutsche-bank/18825376,2026-03-26T00:00:00.000Z
Data Analyst,Associate Manager Data Analyst,UnitedHealth Group,,Full-time,Bengaluru,IN,https://careers.unitedhealthgroup.com/job/bengaluru/associate-manager-data-analyst/34088/93248060480,2026-03-25T00:00:00.000Z
Data Analyst,Senior Analyst/Manager – Data Analytics (Data Mining & Process Management),D. E. Shaw India,,Full-time,Hyderabad,IN,https://www.deshawindia.com/careers/senior-analyst-manager-data-analytics-data-mining-process-management-6732,2026-03-31T00:00:00.000Z
Data Analyst,Data Analyst - Credit Risk and Decision Science,Fiserv India Pvt Ltd,,Full-time,Thane,IN,https://apna.co/job/thane/data-analyst-1914294587,2026-03-28T00:00:00.000Z
Data Analyst,Data Analyst- Freelancing | Remote,Linkedin,,Full-time,Coimbatore,IN,https://in.jooble.org/jdp/2408043503603962094,2026-03-30T00:00:00.000Z
