role_searched,job_title,employer_name,job_description,job_employment_type,job_city,job_country,job_apply_link,posted_date
Data Engineer,Workforce Planning-Data Analyst/Data Scientist/ AI/ML,UnitedHealth Group,,Full-time,Gurugram,IN,https://careers.unitedhealthgroup.com/job/gurgaon/workforce-planning-data-analyst-data-scientist-ai-ml/34088/87305677536,2026-03-29T00:00:00.000Z
Data Engineer,Data Analyst - India,Linkedin,,Full-time,Nellore,IN,https://in.jooble.org/jdp/846627824273704112,2026-04-01T10:00:00.000Z
Data Engineer,Data Analyst Assistant Vice President,Barclays,,Full-time,Chennai,IN,https://search.jobs.barclays/job/chennai/data-analyst-assistant-vice-president/13015/93411787408,2026-03-30T00:00:00.000Z
Data Engineer,"Data Analyst, ESG Data Operations | Ahmedabad, IN",S&P Global,,Full-time,Ahmedabad,IN,https://www.efinancialcareers.com/jobs-India-Ahmedabad-Data_Analyst_ESG_Data_Operations.id24054164,2026-03-30T00:00:00.000Z
Data Engineer,O2C -Transformation- DATA ANALYST-DCM-FMS-   Associate- Operate,PwC Acceleration Center India,,Full-time,Bengaluru,IN,https://in.linkedin.com/jobs/view/o2c-transformation-data-analyst-dcm-fms-associate-operate-at-pwc-acceleration-center-india-4396468179,2026-04-01T09:00:00.000Z
Data Engineer,Global Data Analyst Senior Specialist,Boston Consulting Group,,Full-time,Gurugram,IN,https://careers.bcg.com/global/en/job/56788/Global-Data-Analyst-Senior-Specialist,2026-03-25T00:00:00.000Z
Data Engineer,Data Analyst / Analytics Engineer,Deutsche Bank,,Full-time,,IN,https://www.shine.com/jobs/data-analyst-analytics-engineer/deutsche-bank/18825376,2026-03-26T00:00:00.000Z
Data Engineer,Data Analyst I,Phenom People Pvt Ltd,,Full-time,Hyderabad,IN,https://careers.phenom.com/global/en/job/P-104484/Data-Analyst-I,2026-03-29T00:00:00.000Z
Data Engineer,"Credit Risk Business Analyst - Data Strategy, Analyst, Firm Risk Management | Mumbai, IN",Morgan Stanley,,Full-time,Mumbai,IN,https://www.efinancialcareers.com/jobs-India-Mumbai-Credit_Risk_Business_Analyst_-_Data_Strategy_Analyst_Firm_Risk_Management.id24062109,2026-03-31T00:00:00.000Z
Data Engineer,Data Analysis Specialist,AstraZeneca,,Full-time,,IN,https://www.shine.com/jobs/data-analysis-specialist/astrazeneca/18820420,2026-03-26T00:00:00.000Z
Data Engineer,Workforce Planning-Data Analyst/Data Scientist/ AI/ML,UnitedHealth Group,,Full-time,Gurugram,IN,https://careers.unitedhealthgroup.com/job/gurgaon/workforce-planning-data-analyst-data-scientist-ai-ml/34088/87305677536,2026-03-29T00:00:00.000Z
Data Engineer,Data Analyst - India,Linkedin,,Full-time,Nellore,IN,https://in.jooble.org/jdp/846627824273704112,2026-04-01T10:00:00.000Z
