id,job_title,company_name,job_description,job_employment_type,job_city,job_country,job_apply_link,posted_date,created_at,role_searched
1,Senior Data Analyst (Qa & Automation Focus),SID Information Technologies,"Role: Senior Data Analyst (QA & Automation Focus)

Location: Hyderabad

Employment Type: Full-Time

Experience: 5–10 Years

Work Mode: Hybrid / Onsite (as applicable)

About the Role :

We are seeking a Senior Data Analyst with strong expertise in Data QA, Automation, Advanced SQL, and Tableau dashboard testing. This role plays a key part in ensuring data accuracy, reliability, and business confidence across complex analytics and data engineering platforms.

You will collaborate closely with Data Engineers, BI Developers, Product Owners, and Business Stakeholders to deliver high-quality, production-ready analytics solutions, leveraging automation-first and AI-assisted testing practices.

Key Responsibilities :
• Develop and maintain test strategies, plans, and test cases for data pipelines and Tableau dashboards
• Perform functional testing of data transformations, schema changes, and end-to-end pipeline logic
• Validate Tableau dashboards for layout accuracy, data consistency, calculated fields, filters, parameters, and KPI logic
• Design and implement QA automation frameworks using Python and tools such as Selenium for regression and pipeline testing
• Write advanced SQL queries to validate data across source, staging, and reporting layers
• Apply SQL concepts including:
• Common Table Expressions (CTEs)
• Aggregations and window functions
• Multi-table joins
• String operations and Regex-based validations
• Create reusable Python scripts for data validation, reconciliation, and test data generation
• Participate in requirements analysis and collaborate with stakeholders to define clear test criteria
• Leverage AI tools (e.g., ChatGPT, Copilot, TestGPT) to automate test planning, case generation, and repetitive QA workflows
• Produce QA reports, defect summaries, and quality metrics for stakeholders

Mandatory Skills & Qualifications :
• 5–10 years of hands-on QA experience in Data Engineering / Analytics environments
• Strong experience in QA automation using Python (Pytest, Unittest)
• Hands-on experience with Selenium for UI and dashboard automation testing
• Advanced proficiency in SQL, including:
• CTEs - Window functions, Aggregations, Complex joins , String manipulation and Regex
• Strong experience in functional testing of ETL/ELT pipelines
• Solid hands-on experience in Tableau dashboard QA (filters, visuals, calculated fields, data accuracy)
• Expertise in test planning, defect tracking, documentation, and coverage analysis
• Excellent communication and stakeholder management skills
• Strong AI & automation mindset with practical exposure to AI-assisted QA tools

Preferred Skills:
• Experience with AWS Data Stack (S3, Athena, Glue, RDS)
• Exposure to CI/CD pipelines (GitHub Actions, Jenkins)
• Familiarity with Agile / Scrum methodologies

𝐈𝐧𝐭𝐞𝐫𝐞𝐬𝐭𝐞𝐝?

Apply now or share your profile at: careers@sidinformation.com",Full-time,Hyderabad,In,https://in.linkedin.com/jobs/view/senior-data-analyst-qa-automation-focus-at-sid-information-technologies-4375950100?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-02-27 00:00:00,2026-02-28 16:33:14.406315,Data Scientist
2,Data Analyst 3,Comcast,"Comcast brings together the best in media and technology. We drive innovation to create the world's best entertainment and online experiences. As a Fortune 50 leader, we set the pace in a variety of innovative and fascinating businesses and create career opportunities across a wide range of locations and disciplines. We are at the forefront of change and move at an amazing pace, thanks to our remarkable people, who bring cutting-edge products and services to life for millions of customers every day. If you share in our passion for teamwork, our vision to revolutionize industries and our goal to lead the future in media and technology, we want you to fast-forward your career at Comcast.

Job Summary
Responsible for working cross-functionally to collect data and develop models to determine trends utilizing a variety of data sources. Retrieves, analyzes and summarizes business, operations, employee, customer and/or economic data in order to develop business intelligence, optimize effectiveness, predict business outcomes and decision-making purposes. Involved with numerous key business decisions by conducting the analyses that inform our business strategy. This may include: impact measurement of new products or features via normalization techniques, optimization of business processes through robust A/B testing, clustering or segmentation of customers to identify opportunities of differentiated treatment, deep dive analyses to understand drivers of key business trends, identification of customer sentiment drivers through natural language processing (NLP) of verbatim responses to Net Promotor System (NPS) surveys and development of frameworks to drive upsell strategy for existing customers by balancing business priorities with customer activity. Has in-depth experience, knowledge and skills in own discipline. Usually determines own work priorities. Acts as resource for colleagues with less experience.

Job Description

Key Responsibilities
• Lead advanced analytics using SQL and Python/PySpark (churn, revenue, customer behavior, KPIs).
• Develop forecasting, trend analysis, root cause diagnostics, and actionable recommendations.
• Write optimized SQL across large enterprise datasets and cloud environments (e.g., Spark, Databricks).
• Automate recurring reporting pipelines and ensure data quality and governance standards.
• Design and maintain executive dashboards (Tableau/Power BI) and scalable KPI frameworks.
• Present insights to Director/VP-level stakeholders and influence business decisions.
• Mentor Level 1 & 2 analysts and promote best practices in analytics delivery.

Required Qualifications
• 5–8+ years of experience in Data Analytics or Business Intelligence.
• Advanced SQL expertise (joins, window functions, optimization).
• Proficiency in Python or PySpark.
• Experience with large-scale cloud or distributed data systems.
• Strong analytical thinking, problem-solving, and executive communication skills.

Preferred Qualifications
• Experience in telecom, digital product, subscription, or customer analytics.
• Exposure to A/B testing, experimentation, or ML concepts.
• Experience with AWS, Azure, or GCP.

Disclaimer: This information has been designed to indicate the general nature and level of work performed by employees in this role. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities and qualifications.

Comcast is an equal opportunity workplace. We will consider all qualified applicants for employment without regard to race, color, religion, age, sex, sexual orientation, gender identity, national origin, disability, veteran status, genetic information, or any other basis protected by applicable law.

Base pay is one part of the Total Rewards that Comcast provides to compensate and recognize employees for their work. Most sales positions are eligible for a Commission under the terms of an applicable plan, while most non-sales positions are eligible for a Bonus. Additionally, Comcast provides best-in-class Benefits to eligible employees. We believe that benefits should connect you to the support you need when it matters most, and should help you care for those who matter most. That?s why we provide an array of options, expert guidance and always-on tools, that are personalized to meet the needs of your reality ? to help support you physically, financially and emotionally through the big milestones and in your everyday life. Please visit the compensation and benefits summary on our careers site for more details.

Education

Bachelor's Degree

While possessing the stated degree is preferred, Comcast also may consider applicants who hold some combination of coursework and experience, or who have extensive related professional experience.

Relevant Work Experience

5-7 Years",Full-time,Chennai,In,https://jobs.comcast.com/job/chennai/data-analyst-3/45483/92186498880?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-02-27 00:00:00,2026-02-28 16:33:14.406315,Data Scientist
3,"Senior Financial Data Analyst | Bangalore, In",Moody's,"At Moody's, we unite the brightest minds to turn today's risks into tomorrow's opportunities. We do this by striving to create an inclusive environment where everyone feels welcome to be who they are-with the freedom to exchange ideas, think innovatively, and listen to each other and customers in meaningful ways. Moody's is transforming how the world sees risk. As a global leader in ratings and integrated risk assessment, we're advancing AI to move from insight to action-enabling intelligence that not only understands complexity but responds to it. We decode risk to unlock opportunity, helping our clients navigate uncertainty with clarity, speed, and confidence.
If you are excited about this opportunity but do not meet every single requirement, please apply! You still may be a great fit for this role or other open roles. We are seeking candidates who model our values: invest in every relationship, lead with curiosity, champion diverse perspectives, turn inputs into actions, and uphold trust through integrity.
Skills and Competencies
• 0-2 years' experience in credit/financial data analysis and interpretation with knowledge of capital markets; experience in structured finance will be an added advantage
• Skilled in identifying key credit risk factors and applying relevant credit methodologies to support analysis and decision-making.
• Excellent Microsoft Office skills, particularly advanced Microsoft Excel skills.
• Excellent English communication and interpersonal skills
• Detail-oriented and well-organized, with a proven ability to excel in team-driven environments.
• Basic understanding of AI concepts (Generative AI tools and Agentic AI systems), with curiosity and enthusiasm for learning how AI tools can be used to improve processes and drive efficiency leveraging these technologies for research, analysis, or workflow optimization. Interest in exploring AI systems and a willingness to develop awareness of responsible AI practices, including risk management and ethical use.
• Experience with data science and analytics tools like Python, Power BI, and Alteryx is advantageous along with proficiency in handling large datasets, ensuring data integrity, and applying best practices in data analysis Education
• Masters' degree in Accounting, Finance, Economics from or qualified CA
• CFA/FRM certification is preferred. Responsibilities
• Independently manage routine deliverables such as portfolio review preparation, credit opinions, and outreach materials, while contributing to process improvement initiatives.
• Apply Moody's ratings methodologies to create adjusted data, key indicators, ratios, charts, and graphs that enhance ratings and research accuracy.
• Perform data intake, scrubbing, and validation to ensure accuracy and readiness for research and ratings processes.
• Analyze financial reports, official statements, and related documents to assess issuer performance and creditworthiness.
• Partner with analysts and accounting specialists to apply relevant accounting concepts and capture accurate data for ratings.
• Provide direction and resolve queries for junior team members to ensure quality and efficiency in deliverables. About the team Being part of the RRS Global Capability Centers provides a unique opportunity to foster skills that are valuable to any future career in the financial services industry. The RRS GCC teams perform a range of data, analytical and research services that contribute to the overall credit analysis function performed by the rating groups. By joining our team, you will be a part of exciting work in the global capability centers.
Moody's is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, sexual orientation, gender expression, gender identity or any other characteristic protected by law.

Candidates for Moody's Corporation may be asked to disclose securities holdings pursuant to Moody's Policy for Securities Trading and the requirements of the position. Employment is contingent upon compliance with the Policy, including remediation of positions in those holdings as necessary.

For more information on the Securities Trading Program, please refer to the STP Quick Reference guide on ComplianceNet

Please note: STP categories are assigned by the hiring teams and are subject to change over the course of an employee's tenure with Moody's.",Full-time,Bengaluru,In,https://www.efinancialcareers.com/jobs-India-Bangalore-Senior_Financial_Data_Analyst.id23891913?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-02-28 03:00:00,2026-02-28 16:33:14.406315,Data Scientist
4,"Senior Analyst, Analytics & Metrics",Mastercard,"Job Title:

Senior Analyst, Analytics & Metrics

Overview:

Who is Mastercard?
Mastercard is a global technology company in the payments industry. Our mission is to connect and power an inclusive, digital economy that benefits everyone, everywhere by making transactions safe, simple, smart, and accessible. Using secure data and networks, partnerships and passion, our innovations and solutions help individuals, financial institutions, governments, and businesses realize their greatest potential.
Our decency quotient, or DQ, drives our culture and everything we do inside and outside of our company. With connections across more than 210 countries and territories, we are building a sustainable world that unlocks priceless possibilities for all.
Overview
The Global Business Solutions Center team is looking for a Senior Analyst, Analytics & Metrics to partner with the Mastercard Send team in building data-driven insights, reports, and dashboards that support commercialization and product strategy. This role is highly hands-on and will require not just reporting, but also designing, automating, and governing the reporting process across multiple complex data sources.

The ideal candidate is an analytical problem-solver with strong business acumen, technical depth in data automation, and the ability to translate complex data into actionable insights for internal and external stakeholders.

Role
In this position, you will:

• Partner with global & regional teams to design, develop, and maintain reports, dashboards, and metrics to support Mastercard Send’s enablement and commercialization.
• Work across multiple data sources (databases, offline files, extracts, Excel, PDFs, etc.), ensuring data is cleaned, validated, and accurate before reporting.
• Identify opportunities for automation (SQL, Python, Alteryx, etc.) to streamline recurring reporting tasks and reduce manual intervention.
• Architect reporting frameworks where no set pattern exists—understanding the business need, designing the report/process from scratch, and implementing it.
• Develop and maintain dashboards (Power BI, Tableau, or similar tools) to provide visibility on Send’s market reach and use cases.
• Document reporting processes, build user guides, and ensure governance/consistency of reporting outputs.
• Provide fact-based insights that drive discussions with internal stakeholders and customers.
• Track, measure, and communicate progress against agreed metrics and KPIs.

All About You

The ideal candidate for this position should:
• Strong business understanding with ability to translate requirements into reports and insights.
• Advanced Excel skills; proven ability in data modeling, cleansing, and validation.
• Hands-on experience with SQL, Python, or Alteryx for automation of data pipelines and reports.
• Experience in data visualization tools such as Tableau or Power BI.
• Strong problem-solving skills with an eye for detail and data integrity.
• Ability to work with complex, fragmented data sources and stitch together meaningful outputs.
• Excellent communication and presentation skills to share insights with stakeholders.
• Payments/Financial Institution domain knowledge is a plus.

Corporate Security Responsibility
Every person working for, or on behalf of, Mastercard is responsible for information security. All activities involving access to Mastercard assets, information, and networks comes with an inherent risk to the organization and therefore, it is expected that the successful candidate for this position must:

• Abide by Mastercard’s security policies and practices;
• Ensure the confidentiality and integrity of the information being accessed;
• Report any suspected information security violation or breach, and
• Complete all periodic mandatory security trainings in accordance with Mastercard’s guidelines.

To find US Salary Ranges, visit People Place. Under the Compensation tab, select ""Salary Structures."" Within the text of ""Salary Structures,"" click on the link ""salary structures 2025,"" through which you will be able to access the salary ranges for each Mastercard job family. For more information regarding US benefits, visit People Place and review the Benefits tab and the Time Off & Leave tab.",Full-time,Pune,In,https://careers.mastercard.com/us/en/job/R-262744/Senior-Analyst-Analytics-Metrics?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-02-27 00:00:00,2026-02-28 16:33:14.406315,Data Scientist
5,Data Analyst  Data Services,SLB Inc.,"Role Overview:
As a Data Analyst- Manufacturing Data Services at SLB, you will provide technical and functional support to the Master Data Management team for SAP Enterprise Asset Management (EAM) & Quality Management (QM). Your role will involve maintaining and creating master data for the ERP systems in your domain and providing support to resolve incidents related to them. You will be supporting the global community in SLB using these systems, ensuring functional and technical quality, data sufficiency, and completeness.

Key Responsibilities:
- Responsible for analyzing requirements, designing, developing, and implementing Enterprise Master Data solutions
- Coordinating testing and deployment of fixes and new functionalities in production systems, ensuring complete testing scenarios and full regression testing before deployment
- Proper support of master data and resolution of all tickets in a timely manner as per Service Level Agreements (SLA) goals
- Executing and monitoring processes and technology within defined SLAs to cleanse, standardize, and enrich data in enterprise systems
- Analyzing trends and statistics to create action plans for process improvement
- Helping/assisting end users of business systems and reporting their feedback/pain points
- Ensuring processes alignment with company policies and investigating any process deviation for continuous improvement on service quality
- Initiating, developing, and sharing best practices & lessons learned across the data pillar
- Analyzing business operations to determine opportunities to automate processes and functions

Qualification Required:
- Bachelors or Masters degree in Computer Science or related field
- MBA in Finance, Operations, or Supply Chain

Additional Company Details:
SLB is a global technology company driving energy innovation for a balanced planet. The company values an inclusive culture that fosters collaboration with internal colleagues, alumni, and external partners to support each other and achieve goals. SLB offers a career platform for lifelong learning, borderless careers, and competitive packages with a comprehensive benefits program. SLB is an equal employment opportunity employer that considers qualified applicants without regard to various characteristics protected by law. Role Overview:
As a Data Analyst- Manufacturing Data Services at SLB, you will provide technical and functional support to the Master Data Management team for SAP Enterprise Asset Management (EAM) & Quality Management (QM). Your role will involve maintaining and creating master data for the ERP systems in your domain and providing support to resolve incidents related to them. You will be supporting the global community in SLB using these systems, ensuring functional and technical quality, data sufficiency, and completeness.

Key Responsibilities:
- Responsible for analyzing requirements, designing, developing, and implementing Enterprise Master Data solutions
- Coordinating testing and deployment of fixes and new functionalities in production systems, ensuring complete testing scenarios and full regression testing before deployment
- Proper support of master data and resolution of all tickets in a timely manner as per Service Level Agreements (SLA) goals
- Executing and monitoring processes and technology within defined SLAs to cleanse, standardize, and enrich data in enterprise systems
- Analyzing trends and statistics to create action plans for process improvement
- Helping/assisting end users of business systems and reporting their feedback/pain points
- Ensuring processes alignment with company policies and investigating any process deviation for continuous improvement on service quality
- Initiating, developing, and sharing best practices & lessons learned across the data pillar
- Analyzing business operations to determine opportunities to automate processes and functions

Qualification Required:
- Bachelors or Masters degree in Computer Science or related field
- MBA in Finance, Operations, or Supply Chain

Additional Company Details:
SLB is a global technology company driving energy innovation for a balanced planet. The company values an inclusive culture that fosters collaboration with internal colleagues, alumni, and external partners to support each other and achieve goals. SLB offers a career platform for lifelong learning, borderless careers, and competitive packages with a comprehensive benefits program. SLB is an equal employment opportunity employer that considers qualified applicants without regard to various characteristics protected by law.",Full-time,Unknown,In,https://www.shine.com/jobs/data-analyst-data-services/slb-inc/18694185?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-02-24 00:00:00,2026-02-28 16:33:14.406315,Data Scientist
6,Financial Data Analyst,ERGO | Munich Re | MEAG,"We are looking for an experienced Financial Data Analyst to join our Non – Life team. The role will be responsible for advising business on the potential of data, provide new insights into the business’ mission, and using advanced analytics, consolidating work-flows, automating processes and creating data visualization techniques to create solutions that enhance business performance.

Your Role:
• Work closely with internal and external stakeholders to build, test and deploy solutions that facilitate data driven decision making
• Steer the development of state-of-the-art analysis and dashboards for risk management and monitoring
• Deliver complex projects and drive actionable insights for the business
• Collaborate with stakeholders to understand business challenges and deliver optimal solutions
• Inform management or internal client of results and make recommendations as appropriate
• Consolidating internal and external data, analysing data and providing business performance insights to management
• Improvising process work-flows through automation

Your Profile:
• Bachelor’s / Master’s degree in Operational Research, Statistics, Computer science or engineering background with around 1 year of experience in advanced data analytics and machine learning projects.
• Exceptional skills in coding with R and Python.
• Sound knowledge of Big Data platforms (e.g., Hadoop) and cloud and streaming technology (AWS, Kafka, Microsoft Azure).
• Strong knowledge of machine learning algorithms (e.g., GLM, GBM, Random Forest).
• Proven experience in data visualization tools (e.g., RShiny, Tableau, SAS VA, Power BI).
• Outstanding skills in presenting results to internal and external clients
• Experience in managing complex projects
• Self-motivating, preparedness to take ownership
• Actuarial / insurance domain knowledge (preferred)",Full-time,Mumbai,In,https://careers.munichre.com/en/job/mumbai/financial-data-analyst/3342/35496297984?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-02-24 00:00:00,2026-02-28 16:33:14.406315,Data Scientist
7,Data Analyst Ii,"RealPage, Inc.","Overview:

This role involves validating client financial and occupancy data, ensuring accuracy, and uploading it into the AIM system while maintaining data integrity and documentation. The position requires intermediate accounting knowledge, proficiency in Excel, and familiarity with financial systems. Strong attention to detail, communication skills, and adaptability to new tools are essential.

Responsibilities:
• Validate client financial (TB, Occupancy) data & Occupancy data to ensure accuracy and completeness.
• Upload validated data into the AIM system, following standard operating procedures.
• Perform data integrity checks to ensure alignment with accounting principles.
• Collaborate with internal teams to resolve data discrepancies or formatting issues.
• Maintain proper documentation of validation and upload activities.
• Support process improvement initiatives, including automation and standardization.
• Ensure timely completion of tasks in line with SLAs and quality standards.
• Maintain quality

Qualifications:

Required:
• Bachelor’s degree in accounting, Finance, or related field.
• 2–3 years of relevant experience OR fresh graduates with strong academic performance in accounting/finance.

KNOWLEDGE/SKILLS/ABILITIES

Required:
• Intermediate-level accounting knowledge (e.g., understanding of ledgers, trial balances, journal entries).
• Proficiency in Microsoft Office, especially Excel (formulas, pivot tables, data validation).
• Familiarity with financial systems or platforms like AIM is a plus.
• Basic understanding of data validation techniques and file formatting.
• Strong attention to detail and accuracy.
• Ability to work independently and as part of a team.
• Good communication and documentation skills.
• Eagerness to learn and adapt to new tools and processes.",Full-time,Madhavaram,In,https://www.simplyhired.co.in/job/h_F_I9IwEHX7BNAAH3JkzmPKEUep3Symoksy4gqE0pTULOdUE7r6Sg?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-02-22 00:00:00,2026-02-28 16:33:14.406315,Data Scientist
8,Data Analyst - Home Working Remote,Recruit Forge,"Position: Data Analyst Intern Company Name: 7s IQ Pvt. Internship Type: Full-Time
Work Mode: Remote (Work From Home)
Internship Duration: 3 Months
Working Days: 5 Days per Week
Recruit Forge is hiring Data Analyst Interns for one of its client organizations. This internship is ideal for students and fresh graduates who want hands-on experience in data collection, analysis, reporting, and visualization while supporting real business decision-making processes.

As a Data Analyst Intern, you will work with structured and unstructured datasets to extract insights that improve business performance and strategy. The role involves data cleaning, analysis, reporting, and collaboration with cross-functional teams to translate data into actionable insights.

Collect, clean, and organize data from multiple sources
Create reports, dashboards, and visualizations using Excel, Power BI, Tableau, or Google Data Studio
Assist in preparing data for business presentations and decision-making
Work closely with teams to understand data requirements and objectives
Validate data accuracy and maintain data quality standards
Document data processes, assumptions, and analytical findings
Support ad-hoc data analysis and reporting requests

Proficiency in Microsoft Excel (formulas, pivot tables, charts)
Basic knowledge of SQL for querying databases
Familiarity with data visualization tools (Power BI, Tableau, Looker, or similar)
Understanding of statistics and data analysis concepts
Experience with Python or R is an added advantage
Real-world data analysis workflows and industry best practices
Techniques to transform raw data into meaningful insights
Business intelligence and reporting methodologies
Data-driven decision-making processes
Undergraduate and postgraduate students
Candidates from Engineering, Management, Arts, Commerce, Science, Law, or Medical backgrounds
Individuals interested in building a career in data analytics
Freshers with a strong interest in data and analytics

Monthly stipend based on skills and performance
Job Offer opportunity (performance-based)
Hybrid working exposure
Hands-on experience with real business datasets",Full-time,Unknown,In,https://in.jooble.org/rjdp/5703409005394269609?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-02-26 00:00:00,2026-02-28 16:33:14.406315,Data Scientist
9,Analyst - Data Science,United Airlines,"Achieving our goals starts with supporting yours. Grow your career, access top-tier health and wellness benefits, build lasting connections with your team and our customers, and travel the world using our extensive route network.

Come join us to create what’s next. Let’s define tomorrow, together.

Description

At United, we have some of the best aircraft in the world. Our Technical Operations team is full of aircraft maintenance technicians, engineers, planners, ground equipment and facilities professionals, and supply chain teams that help make sure they’re well taken care of and ready to get our customers to their desired destinations. If you’re ready to work on our planes, join our Tech Ops experts and help keep our fleet in tip-top shape.

Job overview and responsibilities

At United, we have some of the best aircraft in the world. Our Technical Operations team is full of aircraft maintenance technicians, engineers, planners, ground equipment and facilities professionals, and supply chain teams that help make sure they’re well taken care of and ready to get our customers to their desired destinations. If you’re ready to work on our planes, join our Tech Ops experts and help keep our fleet in tip-top shape.

Role Overview
The Analyst is responsible for developing Machine Learning & GenAI solutions to optimize current process of inventory planning for expendable parts and routable parts to support the maintenance operation of United Airlines. This includes planning optimal inventory levels to adequately support maintenance needs.

• Provide analytical and program management support for maintenance operations, with focus on our long-term strategic plans for operational readiness
• Employ advanced data analysis, machine learning and generative AI techniques, leveraging cutting-edge tools like SQL and Python/Pyspark Coding, Palantir Foundry, Databricks, AWS Sagemaker, AWS S3 storage, AWS Redshift warehouse, Spreadsheets as Excel, and dashboards such as Power BI
• Be able to manipulate and analyze complex, high-volume, high dimensionality data from various sources to highlight patterns and relationships
• Develop and improve current data structure and apply necessary automations to support Inventory Levels and Regularly monitor and analyze performance data to ensure quality and adherence to KPIs
• Design solutions to various business problems across Inventory Management using data analysis, optimization tools and BI Tools
• Develop production ready machine learning models using Databricks or/and AWS Sagemaker, AWS Redshift Warehouse and AWS S3 storage
• Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing
• Providing actionable insight to short- and long-term forecasts for the purposes of budgetary planning and integrated business planning
• Develop improved analysis methodologies, analytical dashboards and automated tools to improve operational reliability
• Performs ad-hoc data mining and analysis as required
• Accountable for overall life cycle of inventory – inception through final disposition
• Monitors, analyzes and reports on performance against plan
Drive continuous improvement through the systematic use of tools and techniques
• Execute solutions to business problems using data analysis, data mining, optimization tools, statistical modeling, machine learning and Generative AI techniques
• Continuously develop and improved analysis methodologies
• Analyze and model data and working from concept through to execution
• Understand a business problem and the available data and identify what analytics and modeling techniques can be applied to answer a business question

This position is offered on local terms and conditions. Expatriate assignments and sponsorship for employment visas, even on a time-limited visa status, will not be awarded. This position is for United Airlines Business Services Pvt. Ltd - a wholly owned subsidiary of United Airlines Inc.

Qualifications
What’s needed to succeed (Minimum Qualifications):
• Bachelor Degree in engineering, Data science or another quantitative field (i.e. mathematics, statistics, economics, etc.)
• At least 2+ years of experience in modeling/ machine learning and generative AI experience required
• Experience in Process Improvements oriented role in supply chain, aviation, manufacturing or related industries
• Proven comfort and an intellectual curiosity for working with very large sets of data, and hands-on knowledge in supervised and unsupervised modeling techniques
• Strong knowledge of either R or Python or Pyspark
• Be experienced in manipulating and analyzing complex, high-volume, high dimensionality data from various sources to highlight patterns and relationships
• Understanding of how and when to apply predictive, machine learning and Generative AI techniques like logistic regression, random forest, GBM, Neural Nets, SVM, GPT/Claude,etc. is required
• Able to build and productionalise machine learning models using Databricks or/and AWS Sagemaker, AWS Redshift Warehouse and AWS S3 storage
• Hands on experience in using Big Data ecosystems (Hadoop/Spark), API Gateways and non-structured data will be a plus,
• Being able to communicate complex quantitative analysis and algorithms in a clear, precise and actionable manner
• Understanding of supply chain functions including sourcing/procurement, vendor management, inventory planning, warehousing and logistics
• Ability to study/understand business needs, then design solutions that connect business processes with quantifiable outcomes
• Ability to identify automation and supply chain optimization opportunities in existing processes to improve efficiency
• Proficiency writing complex queries and procedures using both traditional and modern technologies/languages (i.e. SQL, Python, etc.)
• Data visualization skills using one or more reporting tools (i.e. PowerBI, Tableau, etc.) to produce meaningful dashboards
• Strong written and verbal communication skills
• Self-Motivated and engrained Continuous Improvement experience
• Proven ability to generate consensus amongst disparate viewpoints
• Demonstrated abilities to find creative ways to reduce operational costs
• Self-starter with high degree of initiative and ability to manage deadlines
• Strong project management skills with the ability to handle multiple priorities
• Analytical approach to problem solving, with attention to detail and a sense of urgency
• Must be legally authorized to work in India for any employer without sponsorship
• Successful completion of interview required to meet job qualification
Reliable, punctual attendance is an essential function of the position

What will help you propel from the pack (Preferred Qualifications):
• Master's degree",Full-time,Gurugram,In,https://careers.united.com/us/en/job/GGN00002436/Analyst-Data-Science?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-02-27 00:00:00,2026-02-28 16:33:14.406315,Data Scientist
10,Sql Data Analyst,IQVIA India Private Limited,"As an experienced SQL Developer with 5 to 8 years of work experience in Bengaluru, your role will involve performing thorough data analysis to provide insights and draw conclusions. You will be providing expertise and systems support in developing and enhancing business systems to offer new or enhanced products to clients, as well as effective planning, reporting, and analysis tools to internal functions. Your essential functions will include formulating and defining systems scope and objectives, devising or modifying procedures to solve complex problems, guiding and advising less-experienced Business Systems Analysts, and working at the highest technical level of most phases of systems analysis.

Key Responsibilities:
- Perform thorough data analysis to provide insights and draw conclusions.
- Provide expertise and systems support in developing and enhancing business systems.
- Formulate and define systems scope and objectives based on user needs and business requirements.
- Devise or modify procedures to solve complex problems.
- Guide and advise less-experienced Business Systems Analysts.
- Work at the highest technical level of most phases of systems analysis.

Qualifications:
- Bachelor's Degree in Computer Science or equivalent experience required.
- Minimum of five (5) years of overall system analysis experience.
- Experience in writing complex SQL queries is mandatory.
- Strong experience in RDBMS systems with data model and ETL/ELT knowledge.
- Ability to identify anomalies and patterns from complex datasets.
- Requirements lifecycle management and conversion of business requirements into technical specs and codes.
- Demonstrated ability to understand client requirements and underlying infrastructure applications, systems, and processes.
- Prior experience in the healthcare domain is preferable.

In addition to the above role and responsibilities, there are no additional details provided in the job description for the company. As an experienced SQL Developer with 5 to 8 years of work experience in Bengaluru, your role will involve performing thorough data analysis to provide insights and draw conclusions. You will be providing expertise and systems support in developing and enhancing business systems to offer new or enhanced products to clients, as well as effective planning, reporting, and analysis tools to internal functions. Your essential functions will include formulating and defining systems scope and objectives, devising or modifying procedures to solve complex problems, guiding and advising less-experienced Business Systems Analysts, and working at the highest technical level of most phases of systems analysis.

Key Responsibilities:
- Perform thorough data analysis to provide insights and draw conclusions.
- Provide expertise and systems support in developing and enhancing business systems.
- Formulate and define systems scope and objectives based on user needs and business requirements.
- Devise or modify procedures to solve complex problems.
- Guide and advise less-experienced Business Systems Analysts.
- Work at the highest technical level of most phases of systems analysis.

Qualifications:
- Bachelor's Degree in Computer Science or equivalent experience required.
- Minimum of five (5) years of overall system analysis experience.
- Experience in writing complex SQL queries is mandatory.
- Strong experience in RDBMS systems with data model and ETL/ELT knowledge.
- Ability to identify anomalies and patterns from complex datasets.
- Requirements lifecycle management and conversion of business requirements into technical specs and codes.
- Demonstrated ability to understand client requirements and underlying infrastructure applications, systems, and processes.
- Prior experience in the healthcare domain is preferable.

In addition to the above role and responsibilities, there are no additional details provided in the job description for the company.",Full-time,Bengaluru,In,https://www.shine.com/jobs/sql-data-analyst/iqvia-india-private-limited/18703364?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-02-25 00:00:00,2026-02-28 16:33:14.406315,Data Scientist
